bestAnswer,score
1,8.504266E-1
0,4.836273E-1
0,4.521422E-1
1,6.450044E-1
1,7.407647E-1
0,3.318674E-1
1,7.284755E-1
1,5.947537E-1
1,8.411327E-1
0,4.907194E-1
1,6.561745E-1
1,8.465099E-1
1,5.023544E-1
1,5.438321E-1
0,4.193319E-1
1,5.023544E-1
0,3.318674E-1
0,1.059665E-3
0,3.318674E-1
1,9.977196E-1
1,9.977196E-1
1,8.139811E-1
1,6.442093E-1
1,6.642283E-1
1,5.398479E-1
1,9.953763E-1
0,3.318674E-1
1,7.96363E-1
0,1.059665E-3
1,5.438321E-1
1,5.023544E-1
1,7.044465E-1
1,6.481676E-1
1,9.994104E-1
0,3.184241E-3
1,6.883963E-1
1,8.465099E-1
0,3.318674E-1
0,4.907194E-1
1,5.438321E-1
1,7.449052E-1
1,7.517423E-1
1,6.570676E-1
0,4.907194E-1
0,4.514829E-1
1,6.532702E-1
0,3.318674E-1
1,6.706464E-1
0,3.074143E-3
0,3.318674E-1
1,9.988682E-1
0,2.539588E-3
1,5.023544E-1
1,7.336321E-1
1,6.341389E-1
1,6.974936E-1
0,3.318674E-1
1,6.745284E-1
1,5.908161E-1
1,9.984598E-1
1,5.023544E-1
1,9.994104E-1
1,6.341389E-1
1,8.192666E-1
1,6.541159E-1
1,5.023544E-1
0,4.907194E-1
0,4.514829E-1
0,1.059665E-3
1,5.023544E-1
1,5.023544E-1
1,5.796762E-1
1,9.977196E-1
0,4.674654E-1
0,3.318674E-1
1,6.174511E-1
1,6.642283E-1
0,3.318674E-1
1,5.993214E-1
1,6.561745E-1
1,5.908161E-1
0,3.318674E-1
1,6.773402E-1
1,8.925973E-1
0,3.318674E-1
1,7.09925E-1
1,5.760657E-1
1,9.977196E-1
1,7.422343E-1
1,8.832247E-1
1,9.994104E-1
1,9.985725E-1
0,4.929207E-1
1,5.774665E-1
0,3.318674E-1
1,5.023544E-1
1,9.953763E-1
1,5.4466E-1
0,1.059665E-3
1,6.783955E-1
1,8.504266E-1
1,6.850058E-1
0,3.318674E-1
1,5.023544E-1
1,5.993214E-1
0,4.907194E-1
0,4.674654E-1
0,3.318674E-1
1,6.421406E-1
1,6.174511E-1
0,2.151207E-3
1,8.787418E-1
0,1.059665E-3
1,6.907318E-1
1,5.023544E-1
1,8.771171E-1
1,6.341389E-1
1,7.96363E-1
1,5.908161E-1
1,9.983819E-1
0,3.318674E-1
1,9.9812E-1
1,6.415359E-1
1,9.953763E-1
1,5.438321E-1
1,7.536484E-1
1,5.993214E-1
1,5.048922E-1
1,7.96363E-1
1,5.993214E-1
1,9.977196E-1
0,3.318674E-1
1,6.642283E-1
1,5.438321E-1
1,5.398479E-1
1,9.976112E-1
1,9.994104E-1
0,2.053576E-3
1,6.270424E-1
1,6.174511E-1
0,4.907194E-1
0,3.318674E-1
1,6.452499E-1
